,titles,year,imdb_ratings,text_muted1,text_muted2,text_muted3,meta_scores,director,stars
10,Kill Bill: The Whole Bloody Affair,(2011),8.8,"
247 min
|

Action, Crime, Thriller            
","
The Bride must kill her ex-boss and lover Bill who betrayed her at her wedding rehearsal, shot her in the head and took away her unborn daughter. But first, she must make the other four members of the Deadly Viper Assassination Squad suffer.","
Votes:
11,315
",,['Quentin Tarantino'],"['Uma Thurman', 'Lucy Liu', 'Vivica A. Fox', 'Michael Madsen']"
11,The Phantom of the Opera at the Royal Albert Hall,(2011),8.8,"
137 min
|

Drama, Music, Musical            
","
A disfigured musical genius, hidden away in the Paris Opera House, terrorizes the opera company for the unwitting benefit of a young protégée whom he trains and loves.","
Votes:
9,222
",,"['Nick Morris', 'Laurence Connor']","['Ramin Karimloo', 'Sierra Boggess', 'Hadley Fraser', 'Wendy Ferguson']"
12,Inception,(2010),8.8,"
PG-13
|
148 min
|

Action, Adventure, Sci-Fi            
","
A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the project and his team to disaster.","
Votes:
2,321,412
| Gross:
$292.58M
",74        ,['Christopher Nolan'],"['Leonardo DiCaprio', 'Joseph Gordon-Levitt', 'Elliot Page', 'Ken Watanabe']"
13,The Lord of the Rings: The Two Towers,(2002),8.8,"
PG-13
|
179 min
|

Action, Adventure, Drama            
","
While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","
Votes:
1,646,258
| Gross:
$342.55M
",87        ,['Peter Jackson'],"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Orlando Bloom']"
14,Fight Club,(1999),8.8,"
18
|
139 min
|

Drama            
","
An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.","
Votes:
2,092,180
| Gross:
$37.03M
",66        ,['David Fincher'],"['Brad Pitt', 'Edward Norton', 'Meat Loaf', 'Zach Grenier']"
15,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,"
PG-13
|
178 min
|

Action, Adventure, Drama            
","
A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.","
Votes:
1,849,482
| Gross:
$315.54M
",92        ,['Peter Jackson'],"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom', 'Sean Bean']"
16,Forrest Gump,(1994),8.8,"
PG-13
|
142 min
|

Drama, Romance            
","
The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire is to be reunited with his childhood sweetheart.","
Votes:
2,049,897
| Gross:
$330.25M
",82        ,['Robert Zemeckis'],"['Tom Hanks', 'Robin Wright', 'Gary Sinise', 'Sally Field']"
17,"Il buono, il brutto, il cattivo",(1966),8.8,"
161 min
|

Adventure, Western            
","
A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.","
Votes:
755,530
| Gross:
$6.10M
",90        ,['Sergio Leone'],"['Clint Eastwood', 'Eli Wallach', 'Lee Van Cleef', 'Aldo Giuffrè']"
18,The Matrix,(1999),8.7,"
G
|
136 min
|

Action, Sci-Fi            
","
When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","
Votes:
1,893,108
| Gross:
$171.48M
",73        ,"['Lana Wachowski', 'Lilly Wachowski']","['Keanu Reeves', 'Laurence Fishburne', 'Carrie-Anne Moss', 'Hugo Weaving']"
19,Goodfellas,(1990),8.7,"
145 min
|

Biography, Crime, Drama            
","
The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.","
Votes:
1,146,987
| Gross:
$46.84M
",90        ,['Martin Scorsese'],"['Robert De Niro', 'Ray Liotta', 'Joe Pesci', 'Lorraine Bracco']"
20,The Empire Strikes Back,(1980),8.7,"
PG
|
124 min
|

Action, Adventure, Fantasy            
","
After the Rebels are brutally overpowered by the Empire on the ice planet Hoth, Luke Skywalker begins Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","
Votes:
1,279,316
| Gross:
$290.48M
",82        ,['Irvin Kershner'],"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Billy Dee Williams']"
21,One Flew Over the Cuckoo's Nest,(1975),8.7,"
133 min
|

Drama            
","
In the Fall of 1963, a Korean War veteran and criminal pleads insanity and is admitted to a mental institution, where he rallies up the scared patients against the tyrannical nurse.","
Votes:
999,698
| Gross:
$112.00M
",84        ,['Milos Forman'],"['Jack Nicholson', 'Louise Fletcher', 'Michael Berryman', 'Peter Brocco']"
22,Interstellar,(2014),8.6,"
G
|
169 min
|

Adventure, Drama, Sci-Fi            
","
A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.","
Votes:
1,791,117
| Gross:
$188.02M
",74        ,['Christopher Nolan'],"['Matthew McConaughey', 'Anne Hathaway', 'Jessica Chastain', 'Mackenzie Foy']"
23,Sen to Chihiro no kamikakushi,(2001),8.6,"
13 +
|
125 min
|

Animation, Adventure, Family            
","
During her family's move to the suburbs, a sullen 10-year-old girl wanders into a world ruled by gods, witches, and spirits, and where humans are changed into beasts.","
Votes:
752,661
| Gross:
$10.06M
",96        ,['Hayao Miyazaki'],"['Daveigh Chase', 'Suzanne Pleshette', 'Miyu Irino', 'Rumi Hiiragi']"
24,Saving Private Ryan,(1998),8.6,"
R
|
169 min
|

Drama, War            
","
Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose brothers have been killed in action.","
Votes:
1,376,051
| Gross:
$216.54M
",91        ,['Steven Spielberg'],"['Tom Hanks', 'Matt Damon', 'Tom Sizemore', 'Edward Burns']"
25,The Green Mile,(1999),8.6,"
R
|
189 min
|

Crime, Drama, Fantasy            
","
The lives of guards on Death Row are affected by one of their charges: a black man accused of child murder and rape, yet who has a mysterious gift.","
Votes:
1,285,822
| Gross:
$136.80M
",61        ,['Frank Darabont'],"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse', 'Bonnie Hunt']"
26,La vita è bella,(1997),8.6,"
PG-13
|
116 min
|

Comedy, Drama, Romance            
","
When an open-minded Jewish waiter and his son become victims of the Holocaust, he uses a perfect mixture of will, humor, and imagination to protect his son from the dangers around their camp.","
Votes:
688,725
| Gross:
$57.60M
",59        ,['Roberto Benigni'],"['Roberto Benigni', 'Nicoletta Braschi', 'Giorgio Cantarini', 'Giustino Durano']"
27,Lepa sela lepo gore,(1996),8.6,"
115 min
|

Comedy, Drama, History            
","
During the war in Bosnia, two childhood friends eventually become enemies, as the tragic and devastating circumstances of the war put them on the opposite sides and expose the most gruesome and cruel aspects of the human nature.","
Votes:
16,590
",,['Srdjan Dragojevic'],"['Dragan Bjelogrlic', 'Nikola Kojo', 'Dragan Maksimovic', 'Zoran Cvijanovic']"
28,Se7en,(1995),8.6,"
R
|
127 min
|

Crime, Drama, Mystery            
","
Two detectives, a rookie and a veteran, hunt a serial killer who uses the seven deadly sins as his motives.","
Votes:
1,629,518
| Gross:
$100.13M
",65        ,['David Fincher'],"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey', 'Andrew Kevin Walker']"
29,Terminator 2: Judgment Day,(1991),8.6,"
R
|
137 min
|

Action, Sci-Fi            
","
A cyborg, identical to the one who failed to kill Sarah Connor, must now protect her ten-year-old son John from a more advanced and powerful cyborg.","
Votes:
1,088,540
| Gross:
$204.84M
",75        ,['James Cameron'],"['Arnold Schwarzenegger', 'Linda Hamilton', 'Edward Furlong', 'Robert Patrick']"
30,The Silence of the Lambs,(1991),8.6,"
118 min
|

Crime, Drama, Thriller            
","
A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","
Votes:
1,415,176
| Gross:
$130.74M
",85        ,['Jonathan Demme'],"['Jodie Foster', 'Anthony Hopkins', 'Lawrence A. Bonney', 'Kasi Lemmons']"
31,Star Wars,(1977),8.6,"
PG
|
121 min
|

Action, Adventure, Fantasy            
","
Luke Skywalker joins forces with a Jedi Knight, a cocky pilot, a Wookiee and two droids to save the galaxy from the Empire's world-destroying battle station, while also attempting to rescue Princess Leia from the mysterious Darth Vader.","
Votes:
1,351,950
| Gross:
$322.74M
",90        ,['George Lucas'],"['Mark Hamill', 'Harrison Ford', 'Carrie Fisher', 'Alec Guinness']"
32,It's a Wonderful Life,(1946),8.6,"
PG
|
130 min
|

Drama, Family, Fantasy            
","
An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.","
Votes:
452,216
",89        ,['Frank Capra'],"['James Stewart', 'Donna Reed', 'Lionel Barrymore', 'Thomas Mitchell']"
33,Gisaengchung,(2019),8.5,"
15
|
132 min
|

Drama, Thriller            
","
Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.","
Votes:
780,635
| Gross:
$53.37M
",96        ,['Bong Joon Ho'],"['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong', 'Choi Woo-sik']"
34,Whiplash,(2014),8.5,"
G
|
106 min
|

Drama, Music            
","
A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.","
Votes:
842,749
| Gross:
$13.09M
",88        ,['Damien Chazelle'],"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist', 'Paul Reiser']"
35,The Intouchables,(2011),8.5,"
R
|
112 min
|

Biography, Comedy, Drama            
","
After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.","
Votes:
848,623
| Gross:
$13.18M
",57        ,"['Olivier Nakache', 'Éric Toledano']","['François Cluzet', 'Omar Sy', 'Anne Le Ny', 'Audrey Fleurot']"
36,The Prestige,(2006),8.5,"
PG-13
|
130 min
|

Drama, Mystery, Sci-Fi            
","
After a tragic accident, two stage magicians in 1890s London engage in a battle to create the ultimate illusion while sacrificing everything they have to outwit each other.","
Votes:
1,319,302
| Gross:
$53.09M
",66        ,['Christopher Nolan'],"['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson', 'Michael Caine']"
37,The Departed,(2006),8.5,"
R
|
151 min
|

Crime, Drama, Thriller            
","
An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.","
Votes:
1,311,979
| Gross:
$132.38M
",85        ,['Martin Scorsese'],"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson', 'Mark Wahlberg']"
38,La meglio gioventù,(2003),8.5,"
R
|
366 min
|

Drama, Romance            
","
An Italian epic that follows the lives of two brothers from the 1960s to the 2000s.","
Votes:
22,102
| Gross:
$0.27M
",89        ,['Marco Tullio Giordana'],"['Luigi Lo Cascio', 'Alessio Boni', 'Jasmine Trinca', 'Adriana Asti']"
39,The Pianist,(2002),8.5,"
R
|
150 min
|

Biography, Drama, Music            
","
A Polish Jewish musician struggles to survive the destruction of the Warsaw ghetto of World War II.","
Votes:
822,781
| Gross:
$32.57M
",85        ,['Roman Polanski'],"['Adrien Brody', 'Thomas Kretschmann', 'Frank Finlay', 'Emilia Fox']"
40,Gladiator,(2000),8.5,"
R
|
155 min
|

Action, Adventure, Drama            
","
A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.","
Votes:
1,483,904
| Gross:
$187.71M
",67        ,['Ridley Scott'],"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen', 'Oliver Reed']"
41,American History X,(1998),8.5,"
R
|
119 min
|

Crime, Drama            
","
A former neo-nazi skinhead tries to prevent his younger brother from going down the same wrong path that he did.","
Votes:
1,113,582
| Gross:
$6.72M
",62        ,['Tony Kaye'],"['Edward Norton', 'Edward Furlong', ""Beverly D'Angelo"", 'Jennifer Lien']"
42,The Usual Suspects,(1995),8.5,"
R
|
106 min
|

Crime, Drama, Mystery            
","
A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.","
Votes:
1,076,696
| Gross:
$23.34M
",77        ,['Bryan Singer'],"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri', 'Stephen Baldwin']"
43,Léon,(1994),8.5,"
R
|
110 min
|

Action, Crime, Drama            
","
12-year-old Mathilda is reluctantly taken in by Léon, a professional assassin, after her family is murdered. An unusual relationship forms as she becomes his protégée and learns the assassin's trade.","
Votes:
1,149,107
| Gross:
$19.50M
",64        ,['Luc Besson'],"['Jean Reno', 'Gary Oldman', 'Natalie Portman', 'Danny Aiello']"
44,The Lion King,(1994),8.5,"
G
|
88 min
|

Animation, Adventure, Drama            
","
Lion prince Simba and his father are targeted by his bitter uncle, who wants to ascend the throne himself.","
Votes:
1,046,906
| Gross:
$422.78M
",88        ,"['Roger Allers', 'Rob Minkoff']","['Matthew Broderick', 'Jeremy Irons', 'James Earl Jones', 'Whoopi Goldberg']"
45,Back to the Future,(1985),8.5,"
116 min
|

Adventure, Comedy, Sci-Fi            
","
Marty McFly, a 17-year-old high school student, is accidentally sent 30 years into the past in a time-traveling DeLorean invented by his close friend, the maverick scientist Doc Brown.","
Votes:
1,188,922
| Gross:
$210.61M
",87        ,['Robert Zemeckis'],"['Michael J. Fox', 'Christopher Lloyd', 'Lea Thompson', 'Crispin Glover']"
46,Apocalypse Now,(1979),8.5,"
R
|
147 min
|

Drama, Mystery, War            
","
A U.S. Army officer serving in Vietnam is tasked with assassinating a renegade Special Forces Colonel who sees himself as a god.","
Votes:
662,643
| Gross:
$83.47M
",94        ,['Francis Ford Coppola'],"['Martin Sheen', 'Marlon Brando', 'Robert Duvall', 'Frederic Forrest']"
47,Alien,(1979),8.5,"
18 +
|
117 min
|

Horror, Sci-Fi            
","
The crew of a commercial spacecraft encounter a deadly lifeform after investigating an unknown transmission.","
Votes:
873,301
| Gross:
$78.90M
",89        ,['Ridley Scott'],"['Sigourney Weaver', 'Tom Skerritt', 'John Hurt', 'Veronica Cartwright']"
48,Once Upon a Time in the West,(1968),8.5,"
PG-13
|
165 min
|

Western            
","
A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.","
Votes:
327,896
| Gross:
$5.32M
",80        ,['Sergio Leone'],"['Henry Fonda', 'Charles Bronson', 'Claudia Cardinale', 'Jason Robards']"
49,Psycho,(1960),8.5,"
R
|
109 min
|

Horror, Mystery, Thriller            
","
A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.","
Votes:
665,908
| Gross:
$32.00M
",97        ,['Alfred Hitchcock'],"['Anthony Perkins', 'Janet Leigh', 'Vera Miles', 'John Gavin']"
50,Rear Window,(1954),8.5,"
PG
|
112 min
|

Mystery, Thriller            
","
A wheelchair-bound photographer spies on his neighbors from his Greenwich Village courtyard apartment window, and becomes convinced one of them has committed murder, despite the skepticism of his fashion-model girlfriend.","
Votes:
488,576
| Gross:
$36.76M
",100        ,['Alfred Hitchcock'],"['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter']"
51,Casablanca,(1942),8.5,"
PG
|
102 min
|

Drama, Romance, War            
","
A cynical expatriate American cafe owner struggles to decide whether or not to help his former lover and her fugitive husband escape the Nazis in French Morocco.","
Votes:
568,076
| Gross:
$1.02M
",100        ,['Michael Curtiz'],"['Humphrey Bogart', 'Ingrid Bergman', 'Paul Henreid', 'Claude Rains']"
52,Modern Times,(1936),8.5,"
87 min
|

Comedy, Drama, Romance            
","
The Tramp struggles to live in modern industrial society with the help of a young homeless woman.","
Votes:
241,414
| Gross:
$0.16M
",96        ,['Charles Chaplin'],"['Charles Chaplin', 'Paulette Goddard', 'Henry Bergman', 'Tiny Sandford']"
53,City Lights,(1931),8.5,"
G
|
87 min
|

Comedy, Drama, Romance            
","
With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.","
Votes:
184,240
| Gross:
$0.02M
",99        ,['Charles Chaplin'],"['Charles Chaplin', 'Virginia Cherrill', 'Florence Lee', 'Harry Myers']"
54,Hamilton,(2020),8.4,"
PG-13
|
160 min
|

Biography, Drama, History            
","
The real life of one of America's foremost founding fathers and first Secretary of the Treasury, Alexander Hamilton. Captured live on Broadway from the Richard Rodgers Theater with the original Broadway cast.","
Votes:
92,833
",90        ,['Thomas Kail'],"['Lin-Manuel Miranda', 'Phillipa Soo', 'Leslie Odom Jr.', 'Renée Elise Goldsberry']"
55,Joker,(I) (2019),8.4,"
18
|
122 min
|

Crime, Drama, Thriller            
","
A mentally troubled stand-up comedian embarks on a downward spiral that leads to the creation of an iconic villain.","
Votes:
1,248,530
| Gross:
$335.45M
",59        ,['Todd Phillips'],"['Joaquin Phoenix', 'Robert De Niro', 'Zazie Beetz', 'Frances Conroy']"
56,Spider-Man: Into the Spider-Verse,(2018),8.4,"
G
|
117 min
|

Animation, Action, Adventure            
","
Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","
Votes:
516,810
| Gross:
$190.24M
",87        ,"['Bob Persichetti', 'Peter Ramsey', 'Rodney Rothman']","['Shameik Moore', 'Jake Johnson', 'Hailee Steinfeld', 'Mahershala Ali']"
57,Avengers: Endgame,(2019),8.4,"
13
|
181 min
|

Action, Adventure, Drama            
","
After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' actions and restore balance to the universe.","
Votes:
1,105,844
| Gross:
$858.37M
",78        ,"['Anthony Russo', 'Joe Russo']","['Robert Downey Jr.', 'Chris Evans', 'Mark Ruffalo', 'Chris Hemsworth']"
58,Avengers: Infinity War,(2018),8.4,"
G
|
149 min
|

Action, Adventure, Sci-Fi            
","
The Avengers and their allies must be willing to sacrifice all in an attempt to defeat the powerful Thanos before his blitz of devastation and ruin puts an end to the universe.","
Votes:
1,060,032
| Gross:
$678.82M
",68        ,"['Anthony Russo', 'Joe Russo']","['Robert Downey Jr.', 'Chris Hemsworth', 'Mark Ruffalo', 'Chris Evans']"
59,Coco,(I) (2017),8.4,"
G
|
105 min
|

Animation, Adventure, Comedy            
","
Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","
Votes:
497,286
| Gross:
$209.73M
",81        ,"['Lee Unkrich', 'Adrian Molina']","['Anthony Gonzalez', 'Gael García Bernal', 'Benjamin Bratt', 'Alanna Ubach']"
60,Django Unchained,(2012),8.4,"
18
|
165 min
|

Drama, Western            
","
With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation-owner in Mississippi.","
Votes:
1,532,447
| Gross:
$162.81M
",81        ,['Quentin Tarantino'],"['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio', 'Kerry Washington']"
61,Top Gun: Maverick,(2022),8.4,"
PG-13
|
130 min
|

Action, Drama            
","
After thirty years, Maverick is still pushing the envelope as a top naval aviator, but must confront ghosts of his past when he leads TOP GUN's elite graduates on a mission that demands the ultimate sacrifice from those chosen to fly it.","
Votes:
389,476
",78        ,['Joseph Kosinski'],"['Tom Cruise', 'Jennifer Connelly', 'Miles Teller', 'Val Kilmer']"
62,The Dark Knight Rises,(2012),8.4,"
PG-13
|
164 min
|

Action, Drama            
","
Eight years after the Joker's reign of anarchy, Batman, with the help of the enigmatic Selina Kyle, is forced from his exile to save Gotham City from the brutal guerrilla terrorist Bane.","
Votes:
1,687,010
| Gross:
$448.14M
",78        ,['Christopher Nolan'],"['Christian Bale', 'Tom Hardy', 'Anne Hathaway', 'Gary Oldman']"
63,3 Idiots,(2009),8.4,"
PG-13
|
170 min
|

Comedy, Drama            
","
Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","
Votes:
396,986
| Gross:
$6.53M
",67        ,['Rajkumar Hirani'],"['Aamir Khan', 'Madhavan', 'Mona Singh', 'Sharman Joshi']"
64,Sardar Udham,(2021),8.4,"
164 min
|

Biography, Crime, Drama            
","
A biopic detailing the 2 decades that Punjabi Sikh revolutionary Udham Singh spent planning the assassination of the man responsible for the Jallianwala Bagh massacre.","
Votes:
41,855
",,['Shoojit Sircar'],"['Vicky Kaushal', 'Shaun Scott', 'Stephen Hogan', 'Amol Parashar']"
65,WALL·E,(2008),8.4,"
98 min
|

Animation, Adventure, Family            
","
In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","
Votes:
1,105,595
| Gross:
$223.81M
",95        ,['Andrew Stanton'],"['Ben Burtt', 'Elissa Knight', 'Jeff Garlin', 'Fred Willard']"
66,Black Friday,(2004),8.4,"
143 min
|

Action, Crime, Drama            
","
A film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.","
Votes:
21,002
| Gross:
$0.03M
",76        ,['Anurag Kashyap'],"['Kay Kay Menon', 'Pawan Malhotra', 'Aditya Srivastav', 'Dibyendu Bhattacharya']"
67,Memento,(2000),8.4,"
R
|
113 min
|

Mystery, Thriller            
","
A man with short-term memory loss attempts to track down his wife's murderer.","
Votes:
1,227,577
| Gross:
$25.54M
",80        ,['Christopher Nolan'],"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano', 'Mark Boone Junior']"
68,American Beauty,(1999),8.4,"
R
|
122 min
|

Drama            
","
A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.","
Votes:
1,146,960
| Gross:
$130.10M
",84        ,['Sam Mendes'],"['Kevin Spacey', 'Annette Bening', 'Thora Birch', 'Wes Bentley']"
69,Braveheart,(1995),8.4,"
R
|
178 min
|

Biography, Drama, History            
","
Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.","
Votes:
1,031,093
| Gross:
$75.60M
",68        ,['Mel Gibson'],"['Mel Gibson', 'Sophie Marceau', 'Patrick McGoohan', 'Angus Macfadyen']"
70,Aliens,(1986),8.4,"
18 +
|
137 min
|

Action, Adventure, Sci-Fi            
","
Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.","
Votes:
712,329
| Gross:
$85.16M
",84        ,['James Cameron'],"['Sigourney Weaver', 'Michael Biehn', 'Carrie Henn', 'Paul Reiser']"
71,Amadeus,(1984),8.4,"
R
|
160 min
|

Biography, Drama, Music            
","
The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was insanely jealous of Mozart's talent and claimed to have murdered him.","
Votes:
399,310
| Gross:
$51.97M
",88        ,['Milos Forman'],"['F. Murray Abraham', 'Tom Hulce', 'Elizabeth Berridge', 'Roy Dotrice']"
72,Raiders of the Lost Ark,(1981),8.4,"
PG
|
115 min
|

Action, Adventure            
","
Archaeology professor Indiana Jones ventures to seize a biblical artefact known as the Ark of the Covenant. While doing so, he puts up a fight against Renee and a troop of Nazis.","
Votes:
958,655
| Gross:
$248.16M
",85        ,['Steven Spielberg'],"['Harrison Ford', 'Karen Allen', 'Paul Freeman', 'John Rhys-Davies']"
73,The Shining,(1980),8.4,"
R
|
146 min
|

Drama, Horror            
","
A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","
Votes:
1,008,548
| Gross:
$44.02M
",66        ,['Stanley Kubrick'],"['Jack Nicholson', 'Shelley Duvall', 'Danny Lloyd', 'Scatman Crothers']"
74,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,(1964),8.4,"
PG
|
95 min
|

Comedy, War            
","
An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.","
Votes:
488,417
| Gross:
$0.28M
",97        ,['Stanley Kubrick'],"['Peter Sellers', 'George C. Scott', 'Sterling Hayden', 'Keenan Wynn']"
